id,make,model,year,vehicle_type,status,buy_price,sell_price,profit,days_to_sell,purchase_date,sale_date,buyer_name,buyer_contact
1,Kawasaki,Ninja 300,2014,Motorcycle,In Inventory,2500,,,,2026-06-03,,,
2,Kawasaki,Ninja 300,2015,Motorcycle,In Inventory,2400,,,,2026-05-16,,,
3,Kawasaki,Ninja 650,2021,Motorcycle,In Inventory,4800,,,,2026-05-09,,,
4,Kawasaki,ZX-6R,2024,Motorcycle,Sold,8500,9400,900,18,2026-05-02,2026-05-20,,
5,Yamaha,YZF-R3,2015,Motorcycle,In Inventory,2500,,,,2026-04-20,,,
6,Yamaha,YZF-R3,2024,Motorcycle,Sold,3700,4600,900,12,2026-04-12,2026-04-24,,
7,Kawasaki,Ninja 300,2015,Motorcycle,Sold,2600,3600,1000,10,2026-04-04,2026-04-14,,
8,CFMoto,300SS,2023,Motorcycle,Sold,2400,3200,800,13,2026-03-24,2026-04-06,,
9,Kawasaki,Ninja 500,2025,Motorcycle,Sold,4100,5000,900,11,2026-03-15,2026-03-26,,
10,Kawasaki,Ninja 650,2019,Motorcycle,Sold,2800,4000,1200,16,2026-03-08,2026-03-24,,
11,Kawasaki,Ninja 400,2021,Motorcycle,Sold,3500,4250,750,9,2026-03-03,2026-03-12,,
12,Kawasaki,Ninja 400,2023,Motorcycle,Sold,3400,4000,600,14,2026-02-18,2026-03-04,,
13,Honda,CBR500R,2017,Motorcycle,Sold,3700,4200,500,22,2026-02-05,2026-02-27,,
14,Kawasaki,Ninja 500,2024,Motorcycle,Sold,4000,4750,750,12,2025-11-09,2025-11-21,,
15,Ducati,Monster 696,2009,Motorcycle,Sold,3000,3200,200,28,2025-10-06,2025-11-03,,
16,Kawasaki,Ninja 400,2023,Motorcycle,Sold,4000,4900,900,15,2025-09-22,2025-10-07,,
17,Kawasaki,Ninja 500,2025,Motorcycle,Sold,4350,4900,550,10,2025-09-14,2025-09-24,,
18,Toyota,Camry,2009,Car,In Inventory,3200,,,,2025-09-08,,,
19,Toyota,Camry,2010,Car,Sold,2800,3950,1150,17,2025-09-04,2025-09-21,,
20,Toyota,Camry,2011,Car,Sold,3600,4800,1200,20,2025-08-29,2025-09-18,,
21,Yamaha,YZF-R3,2021,Motorcycle,Sold,3500,4900,1400,13,2025-08-27,2025-09-09,,
22,Kawasaki,Ninja 400,2021,Motorcycle,Sold,4000,5250,1250,7,2025-08-24,2025-08-31,,
23,Yamaha,YZF-R3,2015,Motorcycle,Sold,3000,3900,900,18,2025-08-20,2025-09-07,,
24,Kawasaki,Ninja 400,2020,Motorcycle,Sold,3350,5100,1750,11,2025-08-18,2025-08-29,,
25,Kawasaki,Ninja 650,2021,Motorcycle,Sold,3000,4725,1725,16,2025-08-12,2025-08-28,,
26,Kawasaki,Z500,2024,Motorcycle,Sold,4200,5000,800,21,2025-08-09,2025-08-30,,
27,Kawasaki,Ninja 300,2015,Motorcycle,Sold,2500,3600,1100,14,2025-08-05,2025-08-19,,
28,Kawasaki,Ninja 400,2023,Motorcycle,Sold,4000,5150,1150,9,2025-08-03,2025-08-12,,
29,Kawasaki,Ninja 250,2017,Motorcycle,Sold,2500,3400,900,12,2025-07-15,2025-07-27,,
30,KTM,Duke 390,2023,Motorcycle,Sold,3000,4750,1750,19,2025-07-08,2025-07-27,,
